Opcode	Name	Data length	Clock cycles
0x0	nop	1	1
0x1	hlt	1	1
0x2	brk	1	7
0x3	mov_cst_ra	2	2
0x4	mov_cst_rb	2	2
0x5	mov_cst_rc	2	2
0x6	mov_cst_rd	2	2
0x7	mov_cst_sp	2	2
0x8	mov_cst_ss	2	2
0x9	mov_ra_rb	1	1
0xa	mov_ra_rc	1	1
0xb	mov_ra_rd	1	1
0xc	mov_rb_ra	1	1
0xd	mov_rb_rc	1	1
0xe	mov_rb_rd	1	1
0xf	mov_rc_ra	1	1
0x10	mov_rc_rb	1	1
0x11	mov_rc_rd	1	1
0x12	mov_rd_ra	1	1
0x13	mov_rd_rb	1	1
0x14	mov_rd_rc	1	1
0x15	mov_rd_ss	1	1
0x16	mov_rd_sp	1	1
0x17	mov_ra_page0	2	2
0x18	mov_rb_page0	2	2
0x19	mov_rc_page0	2	2
0x1a	mov_rd_page0	2	2
0x1b	mov_page0_ra	2	2
0x1c	mov_page0_rb	2	2
0x1d	mov_page0_rc	2	2
0x1e	mov_page0_rd	2	2
0x1f	mov_cst_page0	3	3
0x20	mov_ra_ipage0rd	1	2
0x21	mov_rb_ipage0rd	1	2
0x22	mov_rc_ipage0rd	1	2
0x23	mov_rd_ipage0rd	1	2
0x24	mov_ipage0rd_ra	1	2
0x25	mov_ipage0rd_rb	1	2
0x26	mov_ipage0rd_rc	1	2
0x27	mov_ipage0rd_rd	1	2
0x28	mov_cst_ipage0rd	2	3
0x29	mov_ra_ipagedrd	2	3
0x2a	mov_rb_ipagedrd	2	3
0x2b	mov_rc_ipagedrd	2	3
0x2c	mov_rd_ipagedrd	2	3
0x2d	mov_ipagedrd_ra	2	3
0x2e	mov_ipagedrd_rb	2	3
0x2f	mov_ipagedrd_rc	2	3
0x30	mov_ipagedrd_rd	2	3
0x31	mov_cst_ipagedrd	3	4
0x32	mov_ra_ifullrcrd	1	3
0x33	mov_rb_ifullrcrd	1	3
0x34	mov_rc_ifullrcrd	1	3
0x35	mov_rd_ifullrcrd	1	3
0x36	mov_ifullrcrd_ra	1	3
0x37	mov_ifullrcrd_rb	1	3
0x38	mov_ifullrcrd_rc	1	3
0x39	mov_ifullrcrd_rd	1	3
0x3a	mov_cst_ifullrcrd	2	4
0x3b	mov_ra_abs	3	3
0x3c	mov_rb_abs	3	3
0x3d	mov_rc_abs	3	3
